Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
SC3,18/08/18,Edinburgh City,Stirling,3,1,H,0,0,D,C Steven,13,6,7,3,17,15,9,1,2,1,0,0,2.14,3.5,3.2,2.1,3.3,3,2,3.5,3.1,2.08,3.84,3.32,2.15,3.5,3.25,2.15,3.6,3.25,38,2.15,2.07,3.84,3.5,3.32,3.11,33,1.79,1.72,2.1,2.01,17,-0.25,1.89,1.84,2,1.94,2.12,3.75,3.36
SC3,18/08/18,Peterhead,Clyde,1,0,H,0,0,D,D Dickinson,15,5,5,1,22,14,4,3,2,1,0,0,2.1,3.5,3.3,2,3.3,3.3,1.95,3.65,3.2,2,4.21,3.24,2.1,3.6,3.25,2.1,3.7,3.3,35,2.11,1.99,4.4,3.61,3.4,3.19,32,1.7,1.65,2.2,2.12,15,-0.25,1.84,1.78,2.09,2,2.27,3.76,3.03
SC3,25/08/18,Berwick,Annan Athletic,0,3,A,0,1,A,D Dickinson,6,9,3,5,10,10,7,3,2,0,0,0,3.25,3.6,2.1,3,3.5,2.05,3.35,3.35,2,3.54,3.66,2.05,3.4,3.9,1.95,3.4,3.5,2.15,39,3.54,3.26,3.9,3.45,2.15,2.02,35,1.94,1.86,1.93,1.86,16,0.25,2.08,1.99,1.87,1.79,4.06,3.82,1.89
SC3,25/08/18,Clyde,Edinburgh City,0,2,A,0,0,D,G Beaton,8,14,1,7,10,6,7,6,2,1,0,0,1.7,3.75,4.75,1.67,3.7,4.1,1.7,3.5,4.3,1.77,3.84,4.59,1.75,3.7,4.4,1.75,3.75,4.75,39,1.8,1.71,3.84,3.63,4.8,4.34,35,1.95,1.88,1.92,1.84,16,-0.75,2.03,1.97,1.87,1.81,1.88,3.74,4.25
SC3,25/08/18,Queens Park,Albion Rvs,2,0,H,2,0,H,S Lambie,15,3,5,0,5,8,10,1,1,2,0,1,1.36,5,7.5,1.4,4.4,6,1.35,4.5,6.75,1.39,5.1,7.85,1.36,5.5,7,1.4,4.75,8,39,1.42,1.37,5.5,4.62,8.25,6.98,33,1.7,1.65,2.26,2.12,15,-1.25,1.94,1.88,1.95,1.89,1.43,4.74,7.91
SC3,25/08/18,Stirling,Peterhead,0,2,A,0,1,A,C Napier,10,18,3,9,4,8,11,13,2,2,0,0,3.8,3.8,1.85,3.6,3.5,1.83,3.6,3.7,1.8,3.65,4.19,1.88,3.6,4.2,1.83,4,3.75,1.87,39,4.2,3.64,4.2,3.7,1.88,1.83,36,1.75,1.7,2.17,2.06,15,0.5,2,1.93,1.89,1.84,4.93,5.21,1.56
SC3,01/09/18,Albion Rvs,Berwick,3,5,A,2,2,D,S Kirkland,12,12,6,7,12,9,7,3,1,1,0,0,2.7,3.4,2.5,2.25,3.7,2.5,2.6,3.3,2.4,2.76,3.58,2.47,2.62,3.7,2.45,2.25,3.6,2.55,36,2.76,2.59,3.7,3.4,2.55,2.42,34,1.85,1.77,2.03,1.97,17,0,2.02,1.96,1.87,1.81,3.27,3.58,2.21
SC3,01/09/18,Annan Athletic,Clyde,1,2,A,1,1,D,P Stuart,10,22,5,6,15,13,3,3,2,2,0,0,2.75,3.5,2.4,2.4,3.6,2.4,2.6,3.4,2.35,2.69,3.63,2.52,2.62,3.7,2.45,2.75,3.6,2.45,36,2.75,2.58,3.7,3.44,2.6,2.41,31,1.72,1.67,2.14,2.08,17,0,2.05,1.97,1.87,1.81,3.1,4.04,2.14
SC3,01/09/18,Elgin,Stirling,0,3,A,0,3,A,D Munro,5,13,1,10,15,10,10,6,1,0,0,0,1.95,3.75,3.5,1.8,3.8,3.4,1.9,3.55,3.45,1.97,3.69,3.77,1.95,3.8,3.5,1.95,3.8,3.6,36,1.99,1.9,3.8,3.61,3.77,3.46,30,1.65,1.6,2.3,2.21,16,-0.5,2,1.92,1.91,1.85,1.96,3.58,4.01
SC3,01/09/18,Peterhead,Edinburgh City,0,1,A,0,0,D,S Millar,8,7,4,2,24,15,5,9,5,3,0,0,1.66,4,4.75,1.65,3.9,4,1.65,3.8,4.35,1.68,4.04,4.98,1.73,4,4.33,1.65,4,5.2,36,1.74,1.65,4.04,3.85,5.2,4.46,30,1.67,1.62,2.27,2.18,16,-0.75,1.97,1.87,2.06,1.91,1.77,3.99,4.54
